participant,time_point,trans_dur,Source,Target
001,76.436,0.022999999999996135,S13_C,S14_C
001,76.459,0.02599999999999625,S14_C,fronttestobject
001,76.896,0.031999999999996476,fronttestobject,S14_C
001,77.061,0.033999999999991815,S14_C,fronttestobject
001,77.196,0.03200000000001069,fronttestobject,fronttable
001,77.22800000000001,0.03499999999999659,fronttable,fronttestobject
001,77.296,0.031999999999996476,fronttestobject,S14_C
001,77.396,0.06499999999999773,S14_C,table12
001,77.461,0.034000000000006025,table12,FloorFront
001,77.528,0.033999999999991815,FloorFront,CartoonTeacher
001,77.596,0.021000000000000796,CartoonTeacher,Screen_95
001,77.617,0.022999999999996135,Screen_95,CartoonTeacher
001,77.64,0.021000000000000796,CartoonTeacher,Screen_95
001,77.907,0.023000000000010346,Screen_95,S16_C
001,77.93,0.02199999999999136,S16_C,FrontWall
001,77.952,0.022999999999996135,FrontWall,rightwall1
001,77.975,0.04399999999999693,rightwall1,FrontWall
001,78.01899999999999,0.02200000000000557,FrontWall,frontcabin
001,78.041,0.021000000000000796,frontcabin,empty
001,78.084,0.02200000000000557,empty,FrontWall
001,78.10600000000001,0.02199999999999136,FrontWall,rightwall1
001,78.128,0.023000000000010346,rightwall1,empty
001,78.15100000000001,0.022999999999981924,empty,frontcabin
001,78.197,0.021000000000000796,frontcabin,empty
001,78.283,0.02400000000000091,empty,rightwall2
001,78.307,0.021000000000000796,rightwall2,empty
001,78.328,0.022999999999996135,empty,frontcabin
001,79.04,0.02199999999999136,frontcabin,rightwall1
001,79.062,0.02200000000000557,rightwall1,empty
001,79.084,0.022999999999996135,empty,S16_C
001,79.649,0.03300000000000125,S16_C,Screen_95
001,79.848,0.034000000000006025,Screen_95,CartoonTeacher
001,79.882,0.03300000000000125,CartoonTeacher,Screen_95
001,79.94800000000001,0.03499999999999659,Screen_95,CartoonTeacher
001,79.983,0.033999999999991815,CartoonTeacher,Screen_95
001,80.04899999999999,0.03300000000000125,Screen_95,CartoonTeacher
001,80.293,0.022999999999996135,CartoonTeacher,Screen_95
001,80.316,0.02200000000000557,Screen_95,CartoonTeacher
001,80.73899999999999,0.08900000000001285,CartoonTeacher,Screen_95
001,80.916,0.022999999999996135,Screen_95,CartoonTeacher
001,81.638,0.033999999999991815,CartoonTeacher,Screen_95
001,82.104,0.023000000000010346,Screen_95,FrontWall
001,82.12700000000001,0.02199999999999136,FrontWall,frontdoor_5
001,82.149,0.023000000000010346,frontdoor_5,frontcabin
001,83.12700000000001,0.02199999999999136,frontcabin,table14
001,83.306,0.021000000000015007,table14,FloorFront
001,83.46,0.02400000000000091,FloorFront,chair16
001,83.484,0.01999999999999602,chair16,table13
001,83.50399999999999,0.023000000000010346,table13,FloorFront
001,83.571,0.02199999999999136,FloorFront,table13
001,83.59299999999999,0.02200000000000557,table13,FloorFront
001,83.63799999999999,0.023000000000010346,FloorFront,table14
001,83.661,0.021000000000000796,table14,table13
001,83.682,0.02400000000000091,table13,FloorRightSide
001,83.729,0.02200000000000557,FloorRightSide,table14
001,83.751,0.022999999999996135,table14,chair16
001,83.774,0.023000000000010346,chair16,FloorRightSide
001,83.79700000000001,0.028999999999996362,FloorRightSide,table23
001,84.126,0.033999999999991815,table23,FloorRightSide
001,84.16,0.034000000000006025,FloorRightSide,chair15
001,84.36,0.03299999999998704,chair15,FloorFront
001,84.46,0.0350000000000108,FloorFront,chair15
001,84.495,0.031999999999996476,chair15,FloorFront
001,84.54700000000001,0.022999999999981924,FloorFront,table13
001,84.616,0.02199999999999136,table13,FloorFront
001,84.65899999999999,0.023000000000010346,FloorFront,table13
001,84.726,0.02199999999999136,table13,FloorFront
001,84.925,0.022999999999996135,FloorFront,table13
001,84.97,0.022999999999996135,table13,CartoonTeacher
001,85.083,0.021000000000000796,CartoonTeacher,FrontWall
001,85.219,0.04399999999999693,FrontWall,CartoonTeacher
001,85.287,0.020999999999986585,CartoonTeacher,FrontWall
001,85.30799999999999,0.023000000000010346,FrontWall,CartoonTeacher
001,85.331,0.02199999999999136,CartoonTeacher,FrontWall
001,85.583,0.023000000000010346,FrontWall,Screen_95
001,85.60600000000001,0.022999999999981924,Screen_95,FrontWall
001,86.155,0.021000000000000796,FrontWall,Screen_95
001,86.41799999999999,0.023000000000010346,Screen_95,CartoonTeacher
001,86.613,0.023000000000010346,CartoonTeacher,Screen_95
001,86.63600000000001,0.01999999999999602,Screen_95,CartoonTeacher
001,86.74600000000001,0.02199999999997715,CartoonTeacher,Screen_95
001,86.791,0.021000000000015007,Screen_95,CartoonTeacher
001,86.835,0.02200000000001978,CartoonTeacher,Screen_95
001,87.056,0.02199999999999136,Screen_95,CartoonTeacher
001,87.74600000000001,0.02199999999997715,CartoonTeacher,SM_Blackboard_Tafel_unten_low_101
