time,gaze_target,left.pupil_diameter_mm,right.pupil_diameter_mm
5.695,CartoonTeacher,3.4996339999999995,3.410385
5.718,CartoonTeacher,3.478577,3.4081120000000005
5.7410000000000005,CartoonTeacher,3.515335,3.408783
5.763,CartoonTeacher,3.488831,3.263519
5.784,CartoonTeacher,3.4321900000000003,3.200684
5.806,CartoonTeacher,3.487167,3.200806
5.827999999999999,CartoonTeacher,3.4594730000000005,3.2250520000000003
5.851,CartoonTeacher,3.442947,3.22934
5.874,CartoonTeacher,3.440475,3.229507
5.897,CartoonTeacher,3.440399,3.2250520000000003
5.917000000000001,CartoonTeacher,3.4190370000000003,3.208557
5.939,CartoonTeacher,3.39711,3.100677
5.961,CartoonTeacher,3.1842040000000003,3.243439
5.985,SM_Blackboard_Tafel_unten_low_101,3.264587,3.3954470000000003
6.006,SM_Blackboard_Tafel_unten_low_101,3.3418879999999995,3.4430080000000003
6.028,SM_Blackboard_Tafel_unten_low_101,3.302246,3.475937
6.051,SM_Blackboard_Tafel_unten_low_101,3.304352,3.435883
6.074,SM_Blackboard_Tafel_unten_low_101,3.29213,3.396561
6.096,SM_Blackboard_Tafel_unten_low_101,3.27388,3.400314
6.117999999999999,SM_Blackboard_Tafel_unten_low_101,3.281464,3.373734
6.14,SM_Blackboard_Tafel_unten_low_101,3.274261,3.376465
6.162000000000001,SM_Blackboard_Tafel_unten_low_101,3.2409060000000003,3.518219
6.183,SM_Blackboard_Tafel_unten_low_101,3.229752,3.5072330000000003
6.206,SM_Blackboard_Tafel_unten_low_101,3.435181,3.403534
6.228,SM_Blackboard_Tafel_unten_low_101,3.45369,3.231445
6.25,SM_Blackboard_Tafel_unten_low_101,3.433746,3.299896
6.273,SM_Blackboard_Tafel_unten_low_101,3.422333,3.297989
6.296,SM_Blackboard_Tafel_unten_low_101,3.424881,3.3013
6.32,SM_Blackboard_Tafel_unten_low_101,3.4143220000000003,3.309509
6.3420000000000005,SM_Blackboard_Tafel_unten_low_101,3.422791,3.317978
6.3660000000000005,SM_Blackboard_Tafel_unten_low_101,3.451004,3.344971
6.39,SM_Blackboard_Tafel_unten_low_101,3.641907,3.298935
6.464,SM_Blackboard_Tafel_unten_low_101,3.319778,3.521378
