"","participant","time_point","trans_dur","Source","Target"
"251","001",37.731,0.027000000000001,"chair31","S32_C"
"252","001",37.758,0.0219999999999985,"S32_C","SM_Heizkörper2_81"
"253","001",38.024,0.0670000000000002,"SM_Heizkörper2_81","FloorLeftSide"
"254","001",38.091,0.0330000000000013,"FloorLeftSide","leftwall_3"
"255","001",38.124,0.0319999999999965,"leftwall_3","window1"
"256","001",38.156,0.0339999999999989,"window1","leftwall"
"257","001",38.19,0.0339999999999989,"leftwall","window1"
"258","001",38.357,0.0330000000000013,"window1","S14_C"
"259","001",38.39,0.0670000000000002,"S14_C","FrontWall"
"260","001",38.49,0.0339999999999989,"FrontWall","SM_Blackboard_Schiene_low_99"
"261","001",38.557,0.0330000000000013,"SM_Blackboard_Schiene_low_99","FrontWall"
"262","001",38.636,0.0219999999999985,"FrontWall","CartoonTeacher"
"263","001",38.77,0.0229999999999961,"CartoonTeacher","FrontWall"
"264","001",38.969,0.0219999999999985,"FrontWall","table13"
"265","001",38.991,0.0240000000000009,"table13","chair15"
"266","001",39.442,0.0230000000000032,"chair15","table13"
"267","001",39.465,0.0219999999999985,"table13","chair15"
"268","001",39.487,0.0219999999999985,"chair15","table13"
"269","001",39.747,0.0219999999999985,"table13","CartoonTeacher"
"270","001",39.879,0.0220000000000056,"CartoonTeacher","FrontWall"
"271","001",39.901,0.0449999999999946,"FrontWall","CartoonTeacher"
"272","001",40.169,0.0210000000000008,"CartoonTeacher","Screen_95"
"273","001",40.305,0.0219999999999985,"Screen_95","CartoonTeacher"
"274","001",40.441,0.0219999999999985,"CartoonTeacher","Screen_95"
"275","001",40.463,0.0210000000000008,"Screen_95","CartoonTeacher"
"276","001",40.506,0.0219999999999985,"CartoonTeacher","Screen_95"
"277","001",40.528,0.0210000000000008,"Screen_95","CartoonTeacher"
"278","001",40.549,0.0240000000000009,"CartoonTeacher","Screen_95"
"279","001",40.638,0.0219999999999985,"Screen_95","CartoonTeacher"
"280","001",42.935,0.0219999999999985,"CartoonTeacher","Screen_95"
"281","001",42.957,0.0219999999999985,"Screen_95","SM_Blackboard_Schiene_low_99"
"282","001",42.979,0.0219999999999985,"SM_Blackboard_Schiene_low_99","FrontWall"
"283","001",43.091,0.0229999999999961,"FrontWall","Screen_95"
"284","001",43.114,0.0230000000000032,"Screen_95","CartoonTeacher"
"285","001",45,0.0330000000000013,"CartoonTeacher","Screen_95"
"286","001",45.033,0.0319999999999965,"Screen_95","CartoonTeacher"
"287","001",45.065,0.0339999999999989,"CartoonTeacher","Screen_95"
"288","001",45.133,0.0329999999999941,"Screen_95","CartoonTeacher"
"289","001",45.2,0.0329999999999941,"CartoonTeacher","Screen_95"
"290","001",45.533,0.0330000000000013,"Screen_95","CartoonTeacher"
"291","001",48.522,0.0200000000000031,"CartoonTeacher","Screen_95"
"292","001",48.586,0.0230000000000032,"Screen_95","CartoonTeacher"
"293","001",48.675,0.0220000000000056,"CartoonTeacher","Screen_95"
"294","001",50.752,0.0210000000000008,"Screen_95","SM_Blackboard_Tafel_unten_low_101"
"295","001",51.285,0.034000000000006,"SM_Blackboard_Tafel_unten_low_101","Screen_95"
"296","001",51.319,0.0329999999999941,"Screen_95","CartoonTeacher"
"297","001",51.752,0.0329999999999941,"CartoonTeacher","Screen_95"
"298","001",53.718,0.0219999999999985,"Screen_95","CartoonTeacher"
"299","001",57.094,0.0219999999999985,"CartoonTeacher","Screen_95"
"300","001",57.761,0.156999999999996,"Screen_95","FrontWall"
"301","001",57.941,0.0219999999999985,"FrontWall","leftwall_5"
"302","001",57.963,0.0319999999999965,"leftwall_5","leftwall"
"303","001",58.06,0.0349999999999966,"leftwall","leftwall_5"
"304","001",58.128,0.0330000000000013,"leftwall_5","leftwall"
"305","001",58.161,0.0319999999999965,"leftwall","leftwall_5"
"306","001",58.293,0.0330000000000013,"leftwall_5","leftwall"
"307","001",58.326,0.0349999999999966,"leftwall","leftwall_5"
"308","001",58.361,0.0320000000000036,"leftwall_5","leftwall"
"309","001",58.46,0.0670000000000002,"leftwall","window1"
"310","001",60.703,0.110999999999997,"window1","Screen_95"
"311","001",61.059,0.0210000000000008,"Screen_95","CartoonTeacher"
"312","001",63.119,0.0240000000000009,"CartoonTeacher","Screen_95"
"313","001",63.143,0.0259999999999962,"Screen_95","CartoonTeacher"
"314","001",64.48,0.0219999999999914,"CartoonTeacher","Screen_95"
"315","001",64.502,0.0240000000000009,"Screen_95","SM_Blackboard_Schiene_low_99"
"316","001",64.526,0.0430000000000064,"SM_Blackboard_Schiene_low_99","SM_Blackboard_Tafel_unten_low_101"
"317","001",65.133,0.135000000000005,"SM_Blackboard_Tafel_unten_low_101","Screen_95"
"318","001",65.268,0.0319999999999965,"Screen_95","CartoonTeacher"
"319","001",67.358,0.0229999999999961,"CartoonTeacher","FrontWall"
